show_id,show_label,band_id,song,url
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-warped-verdict,Bad Reputation by Joan Jett & the Blackhearts,https://youtu.be/MMF4R8wHY7Q?si=ioDVzX_pHwANqhzZ
lftg-1-2006,LFTG 1 (2006),lftg-1-2006-dsi,Blitzkrieg Bop by The Ramones,https://youtu.be/6-aVpTqitoo?si=VsraJAHcMzIWEeET
lftg-2-2006,LFTG 2 (2006),lftg-2-2006-strikes-twelve,Smells Like Teen Spirit by Nirvana,https://youtu.be/o-rzehEi3kk?si=SFy79T6Wqqg-ROG1
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-jay-hawks,Knockin' On Heaven's Door by Bob Dylan,https://youtu.be/zSnUPU4YuOE?si=delv36_r7mdu_Ix8
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-root-u,Black Horse And The Cherry Tree by KT Tunstall,https://youtu.be/i9a8-Tk28GQ?si=H_wprNFK2itcPbnh
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-wet-straps,Denial Twist by The White Stripes,https://youtu.be/Z-DLxURmU5I?si=kVeGGTTzQMb014Cn
lftg-3-2007,LFTG 3 (2007),lftg-3-2007-the-daft-devils,Confessin' The Blues by B.B. King & Albert Collins,https://youtu.be/uOx_K1SB8vk?si=PVw5z7yTqqvvnyx_
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-crumb-snatchers,Monkey Man by The Specials,https://youtu.be/23MO2KvsG_0?si=kK7NH8jMCxeSzmAM
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-root-u,How Far We've Come by Matchbox Twenty,https://youtu.be/u_UbW99xIV4?si=UiAzTFLvZ5u3111p
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-above-the-clinic,Make You Feel Better by Red Hot Chili Peppers,https://youtu.be/R5tTyyGQFnk?si=vHI9LyuOgVGkC3X1
lftg-4-2007,LFTG 4 (2007),lftg-4-2007-the-j-stein-blues-experience,Route 66 by The Rolling Stones,https://youtu.be/68tHj3i5m4Y?si=Rk7Ckf5DOwfUI29Q
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-cardova,Same Old Thing by The Meters,https://youtu.be/ZUz6Y78N8UU?si=QCgJ4q0RyJnO4Csu
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-j-stein-blues-experience,The Last Time by The Rolling Stones,https://youtu.be/0uGyOQcdk-k?si=tfmAyn6JaZsnEdl7
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Sunshine Of Your Love by Cream,https://youtu.be/OB2nCkH0qzE?si=sNVdRK_1bYcyzXJI
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,Buddy Holly by Weezer,https://youtu.be/C2oAXehXxgg?si=XjZKm0aPqAdZMxP2
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,Another Girl Another Planet by Blink 182,https://youtu.be/KVUvoChUtPQ?si=fFDfpF-JEMy9stya
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-u2-tribute,One by U2,https://youtu.be/TlmQy_H5Umo?si=8bQumX1hK9o3JrjL
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson-tribute,"Sitting, Waiting, Wishing by Jack Johnson",https://youtu.be/41MT-yUSrGY?si=mVnsTKoiWQeGRYkF
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-tribute-to-the-kings,Rock My Baby by B.B. King,https://youtu.be/aXtLsHaw9WY?si=BmLsCrJ_hEMDab30
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-santana-tribute,Black Magic Woman by Santana,https://youtu.be/ukRdVs-T2Zk?si=9zZT18EVMJ9tJfnV
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-radiohead-tribute,Just by Radiohead,https://youtu.be/ggJkB5-uVeA?si=FmT9mv2uqOGwg6vI
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-the-white-stripes-tribute,The Hardest Button To Button by The White Stripes,https://youtu.be/wFKmD0pzH7Q?si=quHamMn-3XDI9IXc
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-rage-against-the-machine-tribute,Bomb Track by Rage Against The Machine,https://youtu.be/4Nhj08J-2is?si=zqUftUPHNx8q7CZc
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-50-s-the-birth-of-rock,Summertime Blues by Eddie Cochrane,https://youtu.be/X07pwr7w-DA?si=6u8tu9m6e5sj8Vva
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-the-british-invasion,You Really Got Me by The Kinks,https://youtu.be/ncdBnXFBrY4?si=lt0zv9RQwdXmdBx5
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-60-s-female-vocalists,Piece Of My Heart by Janis Joplin,https://youtu.be/uDAizO_Jydw?si=AG6EO2QM6IImhcSh
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-70-s-am-rock,China Grove by The Doobie Brothers,https://youtu.be/9YKQYfufcEw?si=oFj2YbjB4JenUW9i
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-80-s-alternative-rock,Kiss Off by The Violent Femmes,https://youtu.be/MKAe1CrMbyw?si=R1AWKJO7jyPMOwdX
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-90-s-the-seattle-sound,Alive by Pearl Jam,https://youtu.be/WfvsaZ4SSDQ?si=Y0omT7L8c6B_Wr3G
lftg-7-2009,LFTG 7 (2009),lftg-7-2009-the-2000-s-modern-rock,Take Me Out by Franz Ferdinand,https://youtu.be/rFZNaM5NYXo?si=oFqrJao9CoN8sPwC
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-sonic-white,Have Love Will Travel by The Sonics,https://youtu.be/Ippgc25rL88?si=oLcVd3stxmO-Fjhx
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-your-mother,Zombie by The Cranberries,https://youtu.be/k-J6qKuyZLw?si=7ffGTPEt9aZrCBsg
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-clap-beat-good,While My Guitar Gently Weeps by The Beatles,https://youtu.be/Lwv63ALgUng?si=hEbcKa7xgTAFgo3c
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-dominic-and-the-dominators,Around And Around by The Rolling Stones,https://youtu.be/AG6wbDXAhTs?si=bIacSiX8-tm7s2_7
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-pink-radio,Money by Pink Floyd,https://youtu.be/IRqsxwLWtHQ?si=l3Ub10aSoY10oGD2
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-the-daft-devils,Hideaway by John Mayall & The Bluesbreakers,https://youtu.be/mi3f7sgcEbY?si=DBsELX3nrmCfGuF2
lftg-8-2009,LFTG 8 (2009),lftg-8-2009-audio-overdrive,Taking Care Of Business by Bachman-Turner Overdrive,https://youtu.be/DOJKpowEVE0?si=a7maJwqnNhmzKBAQ
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-fire-in-the-sky,Born To Be Wild by Steppenwolf,https://youtu.be/JkAilgoXtzk?si=Thxp0dDq6kJslSOV
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-the-muted,Seven Nation Army by The White Stripes,https://youtu.be/DCyfVJaiLMQ?si=iV80ghshuo8Yp1GP
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-citizen-jane,Creep by Radiohead,https://youtu.be/VGCTzbtmuMc?si=8uZSFkIyvyKwi3np
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-evolution-destruction,Revolution by The Beatles,https://youtu.be/LboWZZc6ITA?si=xmhllVwtxh8gZY1L
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-sell-it-to-the-crowd,Another Brick In The Wall Pt. 2 by Pink Floyd,https://youtu.be/5TpztV6A3io?si=PLxUMHX-WGRya4E9
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-the-daft-devils,Free Ride  by The Edgar Winter Group,https://youtu.be/JeFYrwUSMgI?si=Y6LOxo4zB8QvCmFh
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-above-the-clinic,No Rain by Blind Melon,https://youtu.be/jj6ZdbaMMv8?si=s9KJOl1Lx23PHqqq
lftg-9-2010,LFTG 9 (2010),lftg-9-2010-surf-s-up,Wipe Out by The Ventures,https://youtu.be/YOGsR2FUEUc?si=gmg1wZ-J_e8bD1NC
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-this-wasted-land,Kashmir by Led Zeppelin,https://youtu.be/33bU2eUTLkg?si=Z5TPhIxSBjwM-Rzw
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-twenty-fingers,Sunshine Of Your Love by Cream,https://youtu.be/Jm84zamBp3g?si=OwpI2uWHpNFQaaNC
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-los-tres-gatos,Shake Your Money Maker by Elmore James,https://youtu.be/qt4E0fATvGY?si=i4EqOap4tc67XT7E
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-through-waves,Celebrate by Rare Earth,https://youtu.be/Cp229V2TdWM?si=HwxDDKR8s7z_D8e9
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-the-muted,We Didn't Do It by Tegan And Sara,https://youtu.be/zqKQDkRXjlY?si=GYD3TDk-Xob4223R
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-the-indra-club,Golden Slumbers by The Beatles,https://youtu.be/SBv5zsNXO0U?si=TsrhgKF8zFQJ8OGw
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-the-daft-devils,Crosstown Traffic by Jimi Hendrix,https://youtu.be/h-bIvmP1P-c?si=v0EMYpSYf3KPYOxo
lftg-10-2011,LFTG 10 (2011),lftg-10-2011-the-brothers,Wild Thing by The Troggs,https://youtu.be/Lwl5pqInCxs?si=gGxPvynO9HT2MpMO
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-heavy-boots-of-lead,Paranoid by Black Sabbath,https://youtu.be/N9hASZ5CkH0?si=LFaVA0U3DNK-2qZY
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-the-infantry,Wake Me Up When September Ends by Green Day,https://youtu.be/0Ybr0WiN1SA?si=3uyTqLEoMbOpTAYV
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-broken-rules,Johnny B Goode by Chuck Berry,https://youtu.be/G3UMTRfVZsE?si=PndmCTsF03GXHAKz
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-the-country-cousins,How Many Times Have You Broken My Heart by High Bar Gang,https://youtu.be/nu1fHBCbdUU?si=lu-qus4Ajxcjuwn3
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-the-muted,Are You Gonna Be My Girl by Jet,https://youtu.be/QXPClme4H2I?si=tqFAjsb9mbLAhbox
lftg-11-2012,LFTG 11 (2012),lftg-11-2012-above-the-clinic,Roxanne by The Police,https://youtu.be/gidrWlh9D3Q?si=Z2b6pcVj8WVXIb9w
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-detour,Wipe Out by The Ventures,https://youtu.be/7EjoPbCOtIs?si=mxOhB6m0kaFL4GNo
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-the-daft-devils,Hideaway by John Mayall & The Bluesbreakers,https://youtu.be/n_2qm0bWnoU?si=5wWYEB48jLnua5Ki
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-the-intruders,Harlem Nocturne by The Ventures,https://youtu.be/d8loXPbiXQk?si=NYoTKxPQ7zIorlWw
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-moderately-trained-monkeys,Mysterious Ways by U2,https://youtu.be/GljOXkRiib8?si=_4KMR9SeIQMQ8OTE
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-silver-city,Louie Louie by The Kingsmen,https://youtu.be/1HBrn23xNPo?si=fnxCfL5iul3BDNE3
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-six-strings,For What It's Worth by Buffalo Springfield,https://youtu.be/LxXN5z_9HuQ?si=UZp45d8Wp3nJ4NVh
lftg-12-2013,LFTG 12 (2013),lftg-12-2013-the-switch,Pipeline by The Ventures,https://youtu.be/4R4CuhT5DC8?si=_wT1rhWqVaEM2036
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-dr-x,Sympathy For The Devil by The Rolling Stones,https://youtu.be/RI9nczflKro?si=cDoh-EIfl1d1L6hE
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-lost-souls,Out Of Limits by The Marketts,https://youtu.be/yysDYEaPaqo?si=FC7gcrV-nSQX2zyh
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-night-of-terror,Sweet Dreams by Marilyn Manson,https://youtu.be/wIo0I-qpVTs?si=O37CAAELm93ElPgI
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-castle-sinister,Little Red Riding by Sam The Sham & The Pharoahs,https://youtu.be/LTDv1MwkPz4?si=mj3RcPlpcQQ_iQ6-
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-dark-eyes-of-london,Frankenstein by The Edgar Winter Group,https://youtu.be/eRUYq5vB0zM?si=PKkj-gf8fNBtBdT8
lftg-13-2014,LFTG 13 (2014),lftg-13-2014-the-phantoms,Graveyard by The Phantom 5,https://youtu.be/iQykwTQR6-I?si=GRwxhCODLPCP2nxq
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-near-dawn,Sunshine Of Your Love by Cream,https://youtu.be/ZEvZLHOWs2c?si=-_-Rpfw63hrQYHg5
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-tracy-island,Resistance Is by Tracy Island,https://youtu.be/W7YsBFzAc2I?si=_O39EVManfvzuiRk
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-marie-kametani,Your Song by Elton John,https://youtu.be/1kpFV7Ap7mA?si=rwDiiz4zA9oJedIz
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-armageddon-flame,Twenty One Guns by Green Day,https://youtu.be/U99u_Urb26w?si=Sx7i0QZwtUq_zMxH
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-piltdown-man,Happy Word Explosion by Benjamin Wexler,https://youtu.be/mXbrY89svbo?si=whQNdXy10QcYP9Nl
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-the-unknown,Wipe Out by The Ventures,https://youtu.be/1zkufiGYCNw?si=RVKO92PPAQt3IKf7
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-carmen-and-the-devil,The Midnight Special by Creedence Clearwater Revival,https://youtu.be/j-51n3v1iGY?si=ZIMKsvvsoCF0CbbR
lftg-14-2015,LFTG 14 (2015),lftg-14-2015-street-spirit,Ripcord by Radiohead,https://youtu.be/mOz-xc2kXTE?si=3lS_gJtZ3kv69DCt
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-one-way-ticket,Sunshine Of Your Love by Cream,https://youtu.be/tn7ntXBT2PY?si=msm-z2P26WbUuCB0
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-man-on-the-scene,Johnny B Goode by Chuck Berry,https://youtu.be/c4ZrnlHbta8?si=RYw48SPPjR2-Gmma
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-ripped-at-the-seams,Born In The U.S.A. by Bruce Springsteen,https://youtu.be/5GUbVGI0-xo?si=xAyTgMPe3QTOnkE0
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-haiverers,Slow Down by The Beatles,https://youtu.be/9Y6ZpzoxK_w?si=yb9P17Op1JRZxj0m
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-zoot-suits,Hollow Body Rock by The Zoot Suits,https://youtu.be/zW3uDCq_hD8?si=C_TgNbTsRQbpa_NI
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-the-daft-devils,Laid Back by The Sheepdogs,https://youtu.be/nG5fSPdJ4lI?si=mH3eGR_-Emlh06rx
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-throwing-knives,Complexity by Eagles Of Deatrh Metal,https://youtu.be/3JNlJdBwQws?si=Sha56TA4-F8lSeM7
lftg-15-2016,LFTG 15 (2016),lftg-15-2016-supersonic-twist,Wipe Out by The Ventures,https://youtu.be/WYBTJYoSQDk?si=oCokMLxddRif5ejg
lftg-16-2017,LFTG 16 (2017),lftg-16-2017-1000-stars,Thinking Out Loud by Ed Sheeran,https://youtu.be/q98Y5oBVVY4?si=DcqFgFxKdyUxhte2
lftg-16-2017,LFTG 15 (2016),lftg-16-2017-listen-bud,Doo Doo Doo by Charlie Etinson,https://youtu.be/JKQcNv2eSBY?si=oFn7MJdGgka-s8p0
